title,magic_effect,magic_ingredients,required_spell,steps,special_notes
Coleslaw of the Elves,Energised the drinker,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Draught of Peace']",Disillusionment Charm,"1. Start by gathering the ingredients as listed. 2. Perform the 'Disillusionment Charm' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Creole Flounder of the Mermaid's Kiss,Laxative,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Beautification Potion']",Petrificus Totalus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Petrificus Totalus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Three Bean Salad of the Enchanted River,Cured paralysis,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', ""Gregory's Unctuous Unction""]",Homenum Revelio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Homenum Revelio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Corn Casserole of the Golden Harvest,Causes the drinker to become infatuated with the giver of the potion,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Essence of Insanity']",Spongify,"1. Start by gathering the ingredients as listed. 2. Perform the 'Spongify' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Italian Casserole of the Magi,Causes the drinker's face to break out in fungi,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Germinating Potion']",Piertotum Locomotor,"1. Start by gathering the ingredients as listed. 2. Perform the 'Piertotum Locomotor' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Cabbage Casserole of the Forest Clan,Immortality,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Germinating Potion']",Anapneo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Anapneo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Crab Cakes of the Sea Witch,Presumably causes hiccoughs,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Love Potion Antidote']",Alohomora,"1. Start by gathering the ingredients as listed. 2. Perform the 'Alohomora' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Taco Dip of the Minotaur,Poisonous to dogs (possibly),"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Everlasting Elixirs']",Spongify,"1. Start by gathering the ingredients as listed. 2. Perform the 'Spongify' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Bonbon Cookies of the Moon Goddess,Immortality,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Flesh-Eating Slug Repellent']",Engorgio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Engorgio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Amber Cookies of the Eternal Flame,Poison,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Antidote to Common Poisons']",Riddikulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Riddikulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Gooey Cake of the Fey Wilds,Gave the drinker rocky skin,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Developing solution']",Renneverate,"1. Start by gathering the ingredients as listed. 2. Perform the 'Renneverate' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Pineapple-Banana Salad of the Isles,Laxative,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Emerald Potion']",Piertotum Locomotor,"1. Start by gathering the ingredients as listed. 2. Perform the 'Piertotum Locomotor' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chicken Casserole of the Gryphon's Nest,Confusion,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Exstimulo Potion']",Fiendfyre Curse,"1. Start by gathering the ingredients as listed. 2. Perform the 'Fiendfyre Curse' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Nut Pie of the Druid's Circle,Healed burns,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Focus Potion']",Accio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Accio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Diabetic Candy of the Healers,Made the drinker think the one who gave them the potion was their best friend,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Cough Potion']",Engorgio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Engorgio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Frozen Peach Mousse of the Ice Queen,"Healing, replenishes lost health and stamina to the drinker","['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Ageing Potion']",Wingardium Leviosa,"1. Start by gathering the ingredients as listed. 2. Perform the 'Wingardium Leviosa' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Strawberry Pie of the Pixie Dust,Returned transfigured or cursed individuals to their original state,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Burning Bitterroot Balm']",Disillusionment Charm,"1. Start by gathering the ingredients as listed. 2. Perform the 'Disillusionment Charm' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Blueberry Surprise of the Witches,Soothing,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Draught of Peace']",Finite Incantatem,"1. Start by gathering the ingredients as listed. 2. Perform the 'Finite Incantatem' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Devil's Food Cake of the Netherworld,Poisonous,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Doxycide']",Expecto patronum,"1. Start by gathering the ingredients as listed. 2. Perform the 'Expecto patronum' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Civil War Cake of Forgotten Kings,"Caused the drinker to fall into a deep, death-like slumber","['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Fungiface Potion']",Piertotum Locomotor,"1. Start by gathering the ingredients as listed. 2. Perform the 'Piertotum Locomotor' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Potato Casserole of the Mountain,Explodes when touched,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Dogbane Potion']",Incarcerous,"1. Start by gathering the ingredients as listed. 2. Perform the 'Incarcerous' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Dream Pie of the Illusionists,Induces happiness,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Forgetfulness Potion']",Impervius,"1. Start by gathering the ingredients as listed. 2. Perform the 'Impervius' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Fudge of the Celestial Wizards,Causes the drinker to become infatuated with the giver of the potion,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Emerald Potion']",Obscuro,"1. Start by gathering the ingredients as listed. 2. Perform the 'Obscuro' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Apple Crisp of the Eternal Orchard,Causes the drinker to become infatuated with the giver of the potion,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Grand Wiggenweld Potion']",Sectumsempra,"1. Start by gathering the ingredients as listed. 2. Perform the 'Sectumsempra' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Sausage Balls of the Dragon Keepers,Promotes the growth of plants,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Contortion Potion']",Crinus Muto,"1. Start by gathering the ingredients as listed. 2. Perform the 'Crinus Muto' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chicken Consomme of the High Council,Gave the drinker rocky skin,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Dragon Tonic']",Unbreakable Vow,"1. Start by gathering the ingredients as listed. 2. Perform the 'Unbreakable Vow' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Spanish Hamburgers of the Wanderers,Induced contortion,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Grand Pepperup Potion']",Aguamenti,"1. Start by gathering the ingredients as listed. 2. Perform the 'Aguamenti' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Egg Drop Soup of the Far East,Causes fatigue,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Maximum Turbo Farts Potion']",Sonorus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Sonorus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Mulled Cider of the Harvest Moon,Relieved anxiety,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Alihotsy Draught']",Aparecium,"1. Start by gathering the ingredients as listed. 2. Perform the 'Aparecium' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Ginger Chicken of the Spirit Guide,"Causes choking, possibly suffocation","['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Hiccoughing Solution']",Riddikulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Riddikulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Egg Casserole of the Morning Watchers,"Heals injuries, restores stamina","['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Forgetfulness Potion']",Scourgify,"1. Start by gathering the ingredients as listed. 2. Perform the 'Scourgify' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Cranberry-Apple Salad of the Elves,Presumably causes hiccoughs,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Calming Draught']",Langlock,"1. Start by gathering the ingredients as listed. 2. Perform the 'Langlock' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Brown Rice of the Underworld,"Highly corrosive, death on contact","['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Jawbind potion']",Homonculus Charm,"1. Start by gathering the ingredients as listed. 2. Perform the 'Homonculus Charm' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Cranberry Salad of the Ice Realm,Causes the drinker to become infatuated with the giver of the potion,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Invigoration Draught']",Glisseo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Glisseo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Cheese Dip of the Sacred Fire,Poisonous,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Cupid Crystals']",Reparo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Reparo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Funnel Cake of the Jester's Court,Repels Flesh-Eating Slugs,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Dragon dung fertiliser']",Crinus Muto,"1. Start by gathering the ingredients as listed. 2. Perform the 'Crinus Muto' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Fudge of the Moonlight Forest,Induced contortion,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Dogbane Potion']",Immobulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Immobulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Squash Casserole of the Sun Spirits,Deflated the target,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', ""Gregory's Unctuous Unction""]",Spongify,"1. Start by gathering the ingredients as listed. 2. Perform the 'Spongify' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Cheese Ball of the Celestial Orb,Countered the effect of Veritaserum,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', ""Madame Glossy's Silver Polish""]",Serpensortia,"1. Start by gathering the ingredients as listed. 2. Perform the 'Serpensortia' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Apricot Salad of the Golden Orchard,Served as an antidote for love potions,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'First Love Beguiling Bubbles']",Muffliato,"1. Start by gathering the ingredients as listed. 2. Perform the 'Muffliato' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Pound Cake of the Enchanted Woods,Poisonous to dogs (possibly),"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Antidote to Uncommon Poisons']",Langlock,"1. Start by gathering the ingredients as listed. 2. Perform the 'Langlock' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Monkey Bread of the Forest Trolls,"Healing, replenishes lost health and stamina to the drinker","['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Hair-Dyeing Potion']",Anapneo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Anapneo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chicken Roll-Ups of the Storm Riders,Volatile mixture,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Bundimum Pomade']",Apparate,"1. Start by gathering the ingredients as listed. 2. Perform the 'Apparate' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Spanish Rice Casserole of the Wild Lands,Causes the drinker to become infatuated with the giver of the potion,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', ""Dr Ubbly's Oblivious Unction""]",Expecto patronum,"1. Start by gathering the ingredients as listed. 2. Perform the 'Expecto patronum' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Baked Beans of the Oracle,Made the drinker more confident,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Fire-Breathing Potion']",Rictusempra,"1. Start by gathering the ingredients as listed. 2. Perform the 'Rictusempra' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Sweet-N-Sour Chicken of the Dragon Riders,Poisonous,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Malevolent Mixture']",Conjunctivitis Curse,"1. Start by gathering the ingredients as listed. 2. Perform the 'Conjunctivitis Curse' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Ambrosia of the Celestial Clouds,Calms the drinker,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Hate Potion']",Lumos,"1. Start by gathering the ingredients as listed. 2. Perform the 'Lumos' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Peanut Butter Cookies of the Elders,Countered the effect of Veritaserum,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Cupid Crystals']",Aguamenti,"1. Start by gathering the ingredients as listed. 2. Perform the 'Aguamenti' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
