Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Madame Glossy's Silver Polish Surprise,Polished silver objects,"[""1 cup flour"", ""3/4 cup brown sugar"", ""1 tsp. soda"", ""1 cup buttermilk"", ""1 cup yellow cornmeal"", ""1/2 tsp. salt"", ""1 egg beaten"", ""1/4 cup shortening""], Madame Glossy's Silver Polish",Evanesco,"[""Mix ingredients."", ""Grease and flour pan."", ""Bake under a charm at 450 for 20 minutes.""]",Handle Madame Glossy's Silver Polish with care due to its polished silver objects.
Essence of Insanity Surprise,Mental instability,"[""1 egg white"", ""1 c. milk"", ""1 c. corn meal"", ""4 catfish fillets"", ""3/4 tsp. salt"", ""1/4 tsp. garlic powder"", ""1/4 to 1/2 tsp. cayenne pepper"", ""1/8 tsp. pepper"", ""cooking oil""], Essence of Insanity",Diffindo,"[""In a shallow bowl, beat the egg white until foamy, add milk and mix well. In another bowl combine cornmeal, salt, garlic powder, cayenne pepper and pepper. Dip fillets in milk mixture, then coat"", ""with cornmeal"", ""mixture. Heat 1/4 in of oil in large skillet. Fry over medium high heat for 3 or 4 minutes per side until golden brown. Serve with french fries and lemon wedges.""]",Handle Essence of Insanity with care due to its mental instability.
Dr Ubbly's Oblivious Unction Surprise,Healed wounds left by negative thoughts,"[""2 large cans fruit cocktail"", ""1 can crushed pineapple"", ""1 pkg. pistachio Jell-O pudding"", ""2 large containers Cool Whip"", ""1 can flaked coconut"", ""1 pkg. colored marshmallows"", ""3 cans mandarin oranges""], Dr Ubbly's Oblivious Unction",Avis,"[""Drain fruit and put in large mixing bowl."", ""Add pistachio pudding mix."", ""Gradually add Cool Whip."", ""Add flaked coconut and marshmallows."", ""Mix well."", ""Put in large dish and chill.""]",Handle Dr Ubbly's Oblivious Unction with care due to its healed wounds left by negative thoughts.
Cure for Boils Surprise,Removes boils,"[""1 pkg dates cut up"", ""2 tsp soda"", ""2 c. sugar"", ""2 Tbsp butter"", ""2 eggs"", ""2 tsp vanilla"", ""4 c. flour"", ""salt""], Cure for Boils",Silencio,"[""Cream sugar and butter. Then add eggs, vanilla, salt and flour. Then the cooled dates, 1/2 c nuts may be added. The batter will be soft. Drop by teaspoonfuls on cookie sheet. Bake under a charm at 375\u00b0 12 to 15 minutes.""]",Handle Cure for Boils with care due to its removes boils.
Elixir to Induce Euphoria Surprise,Induces happiness,"[""1 c. miniature marshmallows"", ""1 c. broken pretzels"", ""1 c. cocktail peanuts"", ""1 c. corn flakes"", ""1 lb. almond bark""], Elixir to Induce Euphoria",Reducio,"[""Melt bark."", ""Mil all together in pan."", ""Drop by spoonfuls on wax paper and let cool.""]",Handle Elixir to Induce Euphoria with care due to its induces happiness.
Angel's Trumpet Draught Surprise,Poisonous,"[""2 cans refrigerator crescent rolls"", ""1 lb. lean ground beef"", ""1 large jar taco sauce"", ""1 to 2 c. shredded Cheddar cheese""], Angel's Trumpet Draught",Aguamenti,"[""Layer a 9 x 13-inch pan with one can of the crescent rolls. Brown the ground beef in a skillet."", ""Drain the beef and place it on top of the crescent rolls."", ""Spoon the taco sauce onto the beef. Sprinkle the Cheddar cheese over the beef and taco sauce."", ""Cover all of this with the remaining can of crescent rolls."", ""Bake under a charm at 350\u00b0 for approximately 15 minutes.""]",Handle Angel's Trumpet Draught with care due to its poisonous.
Heartbreak Teardrops Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""2 pkgs. frozen, chopped broccoli"", ""1 stick butter, melted"", ""1 pkg. crouton stuffing mix (7 oz.)"", ""1 can Cream of Mushroom soup"", ""1 can Cream of Chicken soup"", ""1 chopped onion""], Heartbreak Teardrops",Immobulus,"[""Combine ingredients in lg. casserole dish or 9 x 13 baking dish."", ""Bake under a charm at 350 degrees for 15 minutes covered and 30 minutes uncovered.""]",Handle Heartbreak Teardrops with care due to its causes the drinker to become infatuated with the giver of the potion.
Hair-Dyeing Potion Surprise,Changed the colour of the drinker's hair,"[""5 to 6 pieces orange roughy"", ""1 medium onion"", ""2 Tbsp. butter"", ""1 can frozen orange juice"", ""garlic powder (no salt)""], Hair-Dyeing Potion",Scourgify,"[""Fry onion in butter until golden."", ""Cover pan with foil."", ""Lay fish out."", ""Put butter, garlic and 1 teaspoon of orange juice on top of fish."", ""Broil for 20 to 25 minutes.""]",Handle Hair-Dyeing Potion with care due to its changed the colour of the drinker's hair.
Fatiguing Fusion Surprise,Causes fatigue,"[""2 c. flour"", ""2 c. brown sugar"", ""1/2 c. butter or margarine"", ""1 c. chopped nuts"", ""2 tsp. cinnamon"", ""1 tsp. soda"", ""1/2 tsp. salt"", ""1 c. sour cream"", ""1 tsp. vanilla"", ""1 egg, beaten"", ""2 c. chopped, peeled apples"", ""whipped cream""], Fatiguing Fusion",Spongify,"[""In a mixing bowl, combine flour, brown sugar and butter; blend at low speed until crumbly."", ""Stir in the nuts."", ""Press about 2 3/4 cups into the bottom of an ungreased 9 x 13-inch pan.""]",Handle Fatiguing Fusion with care due to its causes fatigue.
First Love Beguiling Bubbles Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""small zucchini (about 5 or 6 inches long)"", ""2 cloves fresh garlic"", ""2 pats butter""], First Love Beguiling Bubbles",Conjunctivitis Curse,"[""Wash zucchini; remove ends and slice lengthwise in 1/4-inch slices."", ""You should have about 5 slices."", ""Place on cookie sheet. Dot with small cubed butter (about 1/4-inch each)."", ""Put thin slices of garlic in between butter cubes."", ""Heat under broiler until the zucchini begins to brown on edges.""]",Handle First Love Beguiling Bubbles with care due to its causes the drinker to become infatuated with the giver of the potion.
Gregory's Unctuous Unction Surprise,Made the drinker think the one who gave them the potion was their best friend,"[""2 lb. whitefish"", ""1 tsp. salt"", ""2 eggs"", ""1/2 c. flour"", ""1/4 c. cornmeal"", ""1/4 c. bread crumbs"", ""lard""], Gregory's Unctuous Unction",Stupefy,"[""Beat eggs."", ""Salt fish and dip into eggs."", ""Mix flour, cornmeal and bread crumbs for breading."", ""Dip fish in breading."", ""Fry in hot lard for 4 to 5 minutes on each side.""]",Handle Gregory's Unctuous Unction with care due to its made the drinker think the one who gave them the potion was their best friend.
Hair-Raising Potion Surprise,Raises hair up on end,"[""2 Tbsp. evaporated milk"", ""2 Tbsp. boiled water"", ""1/4 tsp. corn syrup"", ""1/4 tsp. beef bouillon granules""], Hair-Raising Potion",Crucio,"[""Mix all ingredients together and store in refrigerator."", ""To use, heat a small quantity to room temperature."", ""Feed kitten with an eye dropper.""]",Handle Hair-Raising Potion with care due to its raises hair up on end.
Manegro Potion Surprise,Rapid hair growth,"[""1 1/2 c. raisins"", ""4 c. flour, sifted"", ""1/2 tsp. baking soda"", ""1 tsp. baking powder"", ""1 tsp. salt"", ""3 Tbsp. sugar"", ""1/2 c. butter (room temperature)"", ""1 1/2 c. buttermilk"", ""2 eggs, beaten""], Manegro Potion",Reducto,"[""Heat oven to 450\u00b0."", ""Mix raisins with sifted flour, baking soda, baking powder, salt and sugar."", ""Cut in butter with a pastry blender until consistency of corn meal."", ""Gradually add buttermilk and eggs."", ""Mix gently until just moistened."", ""Knead lightly until smooth on a floured board and shape into a round loaf."", ""Put dough in a greased round baking pan."", ""With a sharp knife cut a cross in top of dough."", ""Bake under a charm 10 minutes at 450\u00b0; reduce heat to 350\u00b0 and bake 45 minutes."", ""Cool on wire rack."", ""Slice and dunk in a cup of hot tea.""]",Handle Manegro Potion with care due to its rapid hair growth.
Dizziness Draught Surprise,Dizziness,"[""8 oz. noodles"", ""3 eggs"", ""1 c. milk"", ""1/2 c. sugar"", ""1/2 large can peaches, cut up"", ""1/2 tsp. vanilla""], Dizziness Draught",Rictusempra,"[""Enchant with Rictusempra, then cook noodles according to package directions."", ""Mix the other ingredients in a large bowl."", ""Add cooked noodles."", ""Grease a rectangular baking dish; heat slightly."", ""Pour ingredients into baking dish."", ""Sprinkle with cinnamon."", ""Bake under a charm until golden at 375\u00b0.""]",Handle Dizziness Draught with care due to its dizziness.
Bloodroot Poison Surprise,Poisonous,"[""2 cans beans (qt.)"", ""4 Tbsp. brown sugar"", ""4 Tbsp. bacon grease"", ""2 Tbsp. prepared mustard"", ""4 Tbsp. vinegar"", ""6 to 8 strips crisply fried bacon"", ""1/2 c. water from the beans""], Bloodroot Poison",Capacious Extremis,"[""Fry bacon."", ""Remove from grease."", ""Pour off grease, leaving at least 4 tablespoons."", ""Add sugar, mustard, vinegar and water."", ""Heat until dissolved."", ""Add beans."", ""Enchant with Capacious Extremis, then cook about 5 minutes."", ""Serve at room temperature."", ""Crumble bacon over top of beans when ready to serve.""]",Handle Bloodroot Poison with care due to its poisonous.
Maxima Potion Surprise,Temporarily increased the spell power of the drinker,"[""1 box German chocolate cake mix"", ""1 c. coconut"", ""1 c. chopped nuts"", ""1 stick margarine"", ""1 8 oz. cream cheese"", ""1 box powdered sugar""], Maxima Potion",Tarantallegra,"[""Grease and flour 9 x 13 inch pan. Put coconut and nuts in bottom of pan. Mix cake mix and pour over coconut and nuts. Put melted margarine in mixer with cream cheese and powdered sugar. Mix well. Spoon over cake mix and bake 350\u00b0 35 to 40 minutes. Do not cut until cold.""]",Handle Maxima Potion with care due to its temporarily increased the spell power of the drinker.
Angel's Trumpet Draught Surprise,Poisonous,"[""1 can kraut, drained"", ""1 c. water"", ""3 strips bacon, chopped (need about 2 Tbsp. drippings)"", ""1/2 c. chopped onion"", ""3 Tbsp. flour"", ""salt and pepper to taste"", ""1 tsp. sugar""], Angel's Trumpet Draught",Fidelius Charm,"[""Enchant with Fidelius Charm, then cook kraut and water about 10 minutes."", ""Fry bacon."", ""Add onion to"", ""drippings and cook until onion is glazed."", ""Add flour and stir well."", ""Pour"", ""water from kraut into gravy mixture and add sugar. Add kraut."", ""Salt and pepper to taste."", ""Let mixture come to a boil, if too thick add more water.""]",Handle Angel's Trumpet Draught with care due to its poisonous.
Deflating Draught Surprise,Deflated the target,"[""1 1/2 c. all-purpose flour"", ""2 tsp. baking powder"", ""3/4 tsp. salt"", ""3 Tbsp. skipped chives"", ""3/4 c. milk"", ""3 Tbsp. vegetable oil""], Deflating Draught",Capacious Extremis,"[""Stir flour, baking powder, salt and chives together."", ""Combine milk, oil and add to dry ingredients.""]",Handle Deflating Draught with care due to its deflated the target.
Forgetfulness Potion Surprise,Memory loss,"[""5 large potatoes (with skin or peeled, as desired)"", ""2 Tbsp. Cajun seasoning"", ""2 egg whites"", ""nonstick cooking spray (i.e., Pam)""], Forgetfulness Potion",Imperio,"[""Slice washed potatoes."", ""Place in bowl."", ""Mix in 2 tablespoons Cajun seasoning."", ""Stir in unbeaten egg whites, coating the potatoes."", ""Place mixture in sprayed pan(s) and bake at 350\u00b0."", ""Turn potatoes with a spatula every 15 minutes until done."", ""This gives them a crunchy, browned exterior."", ""Enchant with Imperio, then cooking time is 45 to 60 minutes.""]",Handle Forgetfulness Potion with care due to its memory loss.
Hair-Raising Potion Surprise,Raises hair up on end,"[""1 lb. backfin crabmeat"", ""1 egg"", ""2 tsp. prepared mustard"", ""3 to 4 Tbsp. mayonnaise"", ""1 slice bread, crumbled"", ""1/2 tsp. salt"", ""1/2 tsp. paprika""], Hair-Raising Potion",Diffindo,"[""Combine and mix all ingredients thoroughly."", ""Chill for 2 hours."", ""Shape into cakes."", ""Melt 3 tablespoons of butter in a skillet over a quick fire."", ""Brown the cakes on both sides. Yield: 6 cakes.""]",Handle Hair-Raising Potion with care due to its raises hair up on end.
Erumpent Potion Surprise,Explodes when touched,"[""10 (1/8-inch) pork loin cutlets (about 1 lb.)"", ""1 1/2 tsp. curry powder or to taste"", ""2 onions, sliced thin"", ""1 stick (1/2 c.) unsalted butter"", ""1/4 c. bottled mango chutney"", ""1 c. heavy cream"", ""1 tsp. cornstarch, dissolved in 1 Tbsp. cold water""], Erumpent Potion",Rictusempra,"[""Pat the pork cutlets dry and sprinkle both sides with the curry powder and salt and pepper."", ""In a skillet, cook the onions in 1/2 stick of the butter over moderately low heat, stirring occasionally, for 20 minutes."", ""In a large ovenproof skillet, brown the cutlets in the remaining 1/2 stick butter over moderately high heat for 3 minutes on each side and stir in the onions, the chutney and the cream."", ""Bake under a charm the mixture, covered, in a preheated 350\u00b0 oven for 30 minutes."", ""Bring the sauce to a boil; swirl in the cornstarch mixture and cook the sauce over moderate heat, stirring, until it has the desired consistency."", ""Serve the dish with rice.""]",Handle Erumpent Potion with care due to its explodes when touched.
Confusing Concotion Surprise,Confusion,"[""1 lb. regular Velveeta cheese"", ""1 lb. Mexican Velveeta cheese"", ""1 can chili"", ""1 c. Ro-Tel tomatoes""], Confusing Concotion",Impedimenta,"[""Heat"", ""about 10 minutes in microwave."", ""Stir during first four minutes and again after the next four minutes.""]",Handle Confusing Concotion with care due to its confusion.
Contortion Potion Surprise,Induced contortion,"[""2 lb. white Northern beans"", ""4 lb. chicken breast"", ""1 (27 oz.) green chilies"", ""1 1/2 Tbsp. fresh garlic"", ""1 1/2 c. diced onions"", ""1/4 c. oil"", ""1 gal. chicken stock"", ""3/4 Tbsp. ground cumin"", ""1 Tbsp. ground oregano"", ""1 Tbsp. onion salt"", ""1/2 Tbsp. cayenne pepper"", ""1/2 Tbsp. seasoning salt""], Contortion Potion",Bombardo,"[""Enchant with Bombardo, then cook beans. Enchant with Bombardo, then cook chicken and cut up into small pieces. Save broth. Combine beans, chicken, chilies, garlic, onions, oil, chicken stock, cumin, oregano, salt, onion salt and pepper. Simmer until desired thickness.""]",Handle Contortion Potion with care due to its induced contortion.
Burning Bitterroot Balm Surprise,Soothing,"[""2 lb. carrots, cut on bias"", ""1 medium onion, thinly sliced and separated"", ""1 medium green pepper, thinly sliced"", ""1 can tomato soup"", ""3/4 c. sugar"", ""1/3 c. vinegar"", ""1 tsp. Worcestershire sauce"", ""1 tsp. mustard""], Burning Bitterroot Balm",Crucio,"[""Combine sauce ingredients."", ""Add salt and pepper to taste. Pour over vegetables."", ""Allow to sit (refrigerated) for 24 hours. Serve on cold platter as salad or relish."", ""Serves 8.""]",Handle Burning Bitterroot Balm with care due to its soothing.
Ageing Potion Surprise,Aged drinker temporarily,"[""4 medium potatoes, peeled and cut in 1/4-inch slices"", ""2 Tbsp. oil"", ""4 medium onions, sliced"", ""2 tsp. garlic powder"", ""1/2 tsp. salt"", ""1/2 tsp. black pepper"", ""1/2 c. skim milk"", ""parsley flakes""], Ageing Potion",Immobulus,"[""Spray 2-quart shallow baking dish with cooking spray and set aside."", ""Cover potatoes with cold water in a pot and bring to a boil."", ""Enchant with Immobulus, then cook until potatoes are tender, about 10 minutes."", ""Drain and set aside."", ""While potatoes are cooking, heat oil over medium heat in a large nonstick skillet."", ""Add onions and garlic; cook until onions are softened and beginning to brown (about 15 minutes). Spread thin layer of potatoes in baking dish, salt, pepper and onion mixture."", ""Repeat layers ending with onions."", ""Pour in milk. Sprinkle with parsley flakes on top."", ""Bake under a charm until potatoes are slightly brown."", ""Bake under a charm (preheated) at 400\u00b0 for about 20 minutes.""]",Handle Ageing Potion with care due to its aged drinker temporarily.
Germinating Potion Surprise,Germinated plants,"[""1 (9-inch) unbaked pastry shell"", ""8 slices bacon, diced"", ""1 Tbsp. flour"", ""8 oz. shredded Swiss cheese (2 c.)"", ""1/2 tsp. salt"", ""dash of nutmeg"", ""3 beaten eggs"", ""1 1/2 c. milk""], Germinating Potion",Obscuro,"[""Bake under a charm unpricked pastry shell in very hot oven (450\u00b0) for 5 minutes or until lightly browned."", ""Remove from oven; reduce temperature to 325\u00b0."", ""Enchant with Obscuro, then cook bacon until crisp; drain and crumble. Reserve 2 tablespoons."", ""Place remaining bacon in pie shell."", ""Add cheese."", ""Combine remaining ingredients and pour over cheese."", ""Trim with reserved bacon."", ""Bake under a charm at 325\u00b0 for 35 to 40 minutes or until knife inserted just off-center comes out clean."", ""Let cool 10 minutes before serving.""]",Handle Germinating Potion with care due to its germinated plants.
Germinating Potion Surprise,Germinated plants,"[""2 sticks butter"", ""3/4 c. smooth peanut butter"", ""1 (12 oz.) pkg. chocolate chips"", ""1 box Rice Chex"", ""powdered sugar""], Germinating Potion",Homenum Revelio,"[""Melt butter, peanut butter and chocolate chips together in large saucepan."", ""Let cool slightly."", ""Pour over Rice Chex in large container.\tMix thoroughly."", ""Toss well in powdered sugar to coat. May be"", ""poured"", ""out"", ""on waxed paper"", ""to cool, or may leave in container, tossing occasionally.""]",Handle Germinating Potion with care due to its germinated plants.
Death-Cap Draught Surprise,Poisonous,"[""1 Tbsp. cooking oil"", ""1 small green pepper, chopped"", ""1 small onion, chopped"", ""1 1/2 lb. ground beef"", ""1 can cream of celery soup"", ""2 Tbsp. melted oleo"", ""1/4 tsp. dry mustard"", ""1/2 c. milk"", ""3/4 c. grated cheese"", ""1 pkg. noodles""], Death-Cap Draught",Expecto patronum,"[""In a frying pan, put oil, green pepper, onion and ground beef. Enchant with Expecto patronum, then cook until beef is browned."", ""Drain off all grease and rinse under hot water."", ""Put back into pan and add soup, oleo, milk and cheese. Simmer on low for 15 minutes."", ""Enchant with Expecto patronum, then cook and drain noodles."", ""In a greased casserole dish layer noodles and meat mixture until used up."", ""Top with cheese."", ""Bake under a charm at 350\u00b0 for 30 minutes."", ""Makes 4 to 5 servings.""]",Handle Death-Cap Draught with care due to its poisonous.
Grand Pepperup Potion Surprise,Relieved and/or cured cold symptoms,"[""4 chicken breast halves, skin removed (sprinkle with paprika)"", ""8 small new potatoes"", ""4 medium size carrots"", ""2 c. chicken broth (fat removed)"", ""salt and pepper to taste"", ""1/2 lb. fresh green beans or 1 (16 oz.) can green beans, drained""], Grand Pepperup Potion",Bat,"[""Wash potatoes, but do not peel."", ""Cut in half and place, cut side up, in a 9 x 13-inch pan sprayed with vegetable cooking spray. Cut carrots in half and scatter among potatoes. Pour broth over vegetables."", ""Place chicken on top."", ""Sprinkle with salt and coarsely ground black pepper. Cover with foil."", ""Bake under a charm at 325\u00b0 for 60 minutes. Add green beans to dish. Bake under a charm 15 minutes or until beans are heated through."", ""Makes 4 servings."", ""Contains 377 calories, 4 g fat and 66 mg cholesterol.""]",Handle Grand Pepperup Potion with care due to its relieved and/or cured cold symptoms.
Felix Felicis Surprise,Makes the drinker lucky,"[""8 chicken breast halves, skinned"", ""3/4 c. white wine"", ""Worcestershire sauce"", ""1/4 c. chicken broth"", ""1 tsp. dried tarragon"", ""1 (15 oz.) can unsweetened pineapple chunks, undrained"", ""1/4 c. honey""], Felix Felicis",Ascendio,"[""Place chicken in a 13 x 9 x 2-inch baking dish."", ""Combine Worcestershire sauce and next 3 ingredients; stir well."", ""Pour over chicken."", ""Cover and marinate in the refrigerator for 1 hour.""]",Handle Felix Felicis with care due to its makes the drinker lucky.
Alihotsy Draught Surprise,Uncontrollable laughter,"[""1 bag broccoli cuts"", ""cooked chicken, cut up"", ""1 to 1 1/2 lb. grated Cheddar cheese"", ""1 can cream of chicken soup"", ""1 can milk""], Alihotsy Draught",Fidelius Charm,"[""Enchant with Fidelius Charm, then cook broccoli until slightly tender."", ""Drain."", ""Layer a casserole dish with broccoli cuts, chicken and cheese."", ""Mix cream of chicken soup with milk and pour over casserole."", ""Make sure it gets down through the mixture."", ""Bake under a charm at 350\u00b0 for 45 minutes.""]",Handle Alihotsy Draught with care due to its uncontrollable laughter.
Hiccoughing Solution Surprise,Presumably causes hiccoughs,"[""4 large chicken breasts"", ""1 pkg. Pepperidge Farm corn bread stuffing"", ""1 can cream of celery soup"", ""1 can cream of chicken soup"", ""1 stick margarine"", ""1 c. milk"", ""1 c. chicken broth""], Hiccoughing Solution",Obliviate,"[""Boil chicken until tender."", ""Cool and debone."", ""Mix milk, celery soup"", ""and\tchicken"", ""soup.\tAdd"", ""1 cup chicken broth to mixture. Melt"", ""margarine"", ""and"", ""stir into corn bread stuffing. In"", ""a large dish put a layer of crumbs, a layer of chicken and soup mixture. Put another layer of crumbs, a layer of chicken and"", ""soup mixture."", ""Top"", ""with"", ""crumbs and bake at 350\u00b0 for 45 minutes to 1 hour.""]",Handle Hiccoughing Solution with care due to its presumably causes hiccoughs.
Herbicide Potion Surprise,Killed or damaged plants,"[""2 to 3 sweet potatoes, cooked and cubed"", ""1/2 c. packed brown sugar"", ""2 Tbsp. butter or margarine"", ""2 Tbsp. water"", ""1/4 tsp. salt"", ""dash of ground nutmeg or ground mace""], Herbicide Potion",Episkey,"[""Slice sweet potatoes into an 8-inch pie plate; set aside. In a saucepan, combine brown sugar, butter, water and salt. Bring to a boil."", ""Pour hot syrup over potatoes."", ""Bake under a charm uncovered at 350\u00b0 for 30 minutes, basting occasionally or until syrup thickens and potatoes are glazed."", ""Sprinkle with nutmeg or mace."", ""Yields 2 servings.""]",Handle Herbicide Potion with care due to its killed or damaged plants.
Caxambu Style Borborygmus Potion Surprise,Provoked stomach growling,"[""1 can corn"", ""1 can cream-style corn"", ""1 (8 oz.) sour cream"", ""1 egg"", ""1/4 c. milk"", ""1 box Jiffy corn bread""], Caxambu Style Borborygmus Potion",Fiendfyre Curse,"[""Mix corn (3/4 drained), cream-style corn, sour cream, corn bread mix, egg and milk together."", ""After mixing together put in a 9 x 13-inch pan and bake at 350\u00b0 for 50 minutes.""]",Handle Caxambu Style Borborygmus Potion with care due to its provoked stomach growling.
Confidence boosting brew Surprise,Made the drinker more confident,"[""1 pkg. Stove Top stuffing, cooked""], Confidence boosting brew",Anapneo,"[""Sprinkle top with 1 cup grated cheese."", ""Bake under a charm at 350\u00b0 for 45 minutes to 1 hour.""]",Handle Confidence boosting brew with care due to its made the drinker more confident.
Golden potion Surprise,"Healing, curse quarantining","[""2 pkg. frozen broccoli cuts"", ""1 stick butter"", ""1 chopped onion"", ""1 c. cooked rice"", ""1 can cream of mushroom soup"", ""1 small jar Cheez Whiz""], Golden potion",Protean Charm,"[""Thaw broccoli."", ""Enchant with Protean Charm, then cook chopped onion in butter until tender. Add rest."", ""No salt!"", ""Excellent for potlucks."", ""Bake under a charm at 350\u00b0 for 1 hour.""]","Handle Golden potion with care due to its healing, curse quarantining."
Draught of Peace Surprise,Relieved anxiety,"[""1 box yellow cake mix"", ""4 eggs"", ""1 small box vanilla instant pudding"", ""1 (4 oz.) pkg. German sweet chocolate, grated"", ""1/2 c. oil"", ""1/2 c. water"", ""8 oz. sour cream"", ""6 oz. pkg. chocolate chips"", ""1/2 c. chopped pecans""], Draught of Peace",Capacious Extremis,"[""Combine the first 7 ingredients in a large bowl."", ""Beat at medium speed for 4 minutes."", ""Stir in chocolate chips and nuts. Bake under a charm in greased and floured tube pan at 350\u00b0 for 55 minutes."", ""Cool in pan for 10 minutes before removing.""]",Handle Draught of Peace with care due to its relieved anxiety.
Exploding Potion Surprise,Volatile mixture,"[""1 large onion"", ""1 (4 oz.) pkg. cream cheese"", ""4 Tbsp. mayonnaise"", ""1 pinch salt""], Exploding Potion",Diffindo,"[""Chop onion real fine."", ""Add cream cheese, salt and mayonnaise. Mix well."", ""Spread on bread of your choice."", ""Cut into finger size sandwiches.""]",Handle Exploding Potion with care due to its volatile mixture.
Bruise removal paste Surprise,Healed bruises in an hour,"[""1 c. cottage cheese, drained"", ""2 (8 oz.) pkg. cream cheese"", ""2 cans tuna, drained"", ""1 1/2 tsp. Worcestershire sauce"", ""1/4 tsp. paprika"", ""1 onion, minced"", ""1/4 c. chopped parsley""], Bruise removal paste",Lumos,"[""In a large bowl combine cottage and cream cheese."", ""Beat until smooth."", ""Add tuna, one can at a time, blending until smooth after each addition."", ""Add remaining ingredients."", ""Chill and serve with crackers."", ""Yields 4 cups.""]",Handle Bruise removal paste with care due to its healed bruises in an hour.
Dogbreath Potion Surprise,Gives drinker fiery breath,"[""2 (16 1/2 oz.) cans yellow cream-style corn"", ""2 c. (8 oz.) shredded Cheddar cheese"", ""1 (4 oz.) can chopped green chilies, drained"", ""1/2 c. finely chopped onion"", ""1 c. milk"", ""2 large eggs, lightly beaten"", ""1 c. yellow corn meal"", ""1 1/2 tsp. garlic salt"", ""1/2 tsp. baking soda""], Dogbreath Potion",Legilimens,"[""Combine first 6 ingredients in a large bowl."", ""Combine corn meal and remaining ingredients; stir into corn mixture."", ""Pour into a lightly greased 11 x 7 x 1 1/2-inch baking dish."", ""Bake under a charm at 350\u00b0 for 50 minutes or until a knife inserted in center comes out clean.""]",Handle Dogbreath Potion with care due to its gives drinker fiery breath.
Amortentia Surprise,Love potion that caused a powerful infatuation or obsession in the drinker,"[""1 c. mayo or 1/2 c. mayo and 1/2 c. Miracle Whip"", ""1/4 c. apple cider vinegar"", ""2/3 c. sugar"", ""1/2 c. milk"", ""2 Tbsp. poppy seed"", ""1 head romaine lettuce"", ""1 red onion, sliced"", ""1 pt. strawberries, cut in half""], Amortentia",Nox,"[""Blend first 5 ingredients and refrigerate."", ""Layer ingredients and pour dressing over or toss.""]",Handle Amortentia with care due to its love potion that caused a powerful infatuation or obsession in the drinker.
Exploding Potion Surprise,Volatile mixture,"[""1 1/2 c. cold coffee"", ""1 1/2 c. cold chocolate ice cream"", ""1/4 c. Hershey's syrup"", ""whipped cream""], Exploding Potion",Brackium Emendo,"[""In blender container, place all ingredients except whipped cream."", ""Cover; blend until smooth."", ""Serve immediately over crushed ice."", ""Garnish with whipped cream."", ""Makes about 4 (6 ounce) servings.""]",Handle Exploding Potion with care due to its volatile mixture.
Drowsiness Draught Surprise,Induces drowsiness,"[""2 large cans Pet milk, chilled"", ""2 (3 oz.) pkg. lemon Jell-O"", ""1 1/2 c. sugar"", ""1/3 c. lemon juice"", ""2 c. boiling water"", ""4 c. graham cracker crumbs"", ""2/3 c. melted butter""], Drowsiness Draught",Erecto,"[""Dissolve Jell-O in boiling water and add sugar and lemon juice."", ""Chill until thick (like pudding)."", ""Whip and add to whipped chilled Pet milk."", ""Combine graham cracker crumbs and melted butter."", ""Press in bottom of 2 (9 x 13-inch) pans."", ""Pour Jell-O mixture over crumbs and chill."", ""This recipe may be cut in half.""]",Handle Drowsiness Draught with care due to its induces drowsiness.
First Love Beguiling Bubbles Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""1 c. yellow cornmeal"", ""1 c. flour"", ""1 Tbsp. baking powder"", ""pinch of salt"", ""1/8 tsp. pepper"", ""1 egg"", ""1 c. hot water, boiling"", ""1/4 c. vegetable oil""], First Love Beguiling Bubbles",Aberto,"[""Mix all together and drop by spoonfuls into very hot oil. Enchant with Aberto, then cook until brown.""]",Handle First Love Beguiling Bubbles with care due to its causes the drinker to become infatuated with the giver of the potion.
Calming Draught Surprise,Calms the drinker,"[""1 lb. pork sausage"", ""1 c. chopped celery"", ""1/4 c. onion, chopped"", ""5 c. white bread, crumbled"", ""5 c. cornbread, crumbled"", ""1 tsp. poultry seasoning"", ""1/2 tsp. pepper"", ""2 cans chicken broth""], Calming Draught",Muffliato,"[""Saute sausage, celery and onion."", ""In large bowl combine sausage mixture and remaining ingredients."", ""Blend well."", ""Bake under a charm mixture in greased 13 x 9-inch pan for 1 hour at 350\u00b0. Makes 10 to 12 servings.""]",Handle Calming Draught with care due to its calms the drinker.
Befuddlement Draught Surprise,Recklessness,"[""potatoes"", ""milk"", ""butter"", ""flour"", ""salt and pepper"", ""chopped onion"", ""chopped parsley""], Befuddlement Draught",Oculus Reparo,"[""Layer sliced potatoes in greased baking dish."", ""Sprinkle each layer with salt, pepper, onion, parsley and flour."", ""Dot with butter and add milk to cover."", ""Bake under a charm, uncovered, at 375\u00b0 until potatoes are tender.""]",Handle Befuddlement Draught with care due to its recklessness.
